
This product is licensed by WSO2 LLC. under Apache License 2.0. The license
can be downloaded from the following locations:
	http://www.apache.org/licenses/LICENSE-2.0.html
	http://www.apache.org/licenses/LICENSE-2.0.txt

This product also contains software under different licenses. This table below
all the contained libraries (jar files) and the license under which they are 
provided to you.

At the bottom of this file is a table that shows what each license indicated
below is and where the actual text of the license can be found.


Name                                                                                                Type           License             
axis2-transport-rabbitmq-amqp_2.0.0.wso2v83.jar                                                     bundle         apache2
org.eclipse.equinox.p2.director_2.6.300.v20240207-1113.jar                                          bundle         epl2
org.wso2.securevault_1.1.16.jar                                                                     bundle         apache2
org.wso2.carbon.identity.oauth.stub_6.8.0.jar                                                       bundle         apache2
nimbus-jose-jwt_10.7.0.wso2v1.jar                                                                   bundle         apache2
org.wso2.carbon.databridge.commons_5.2.66.jar                                                       bundle         apache2
org.yaml.snakeyaml_2.5.0.jar                                                                        bundle         apache2
org.eclipse.equinox.p2.publisher.eclipse_1.6.0.v20240229-1022.jar                                   bundle         epl2
org.wso2.micro.integrator.core_4.6.0.alpha.jar                                                      bundle         apache2
org.wso2.micro.integrator.connector.core_4.6.0.alpha.jar                                            bundle         apache2
io.netty.tcnative-boringssl-static_2.0.75.Final.jar                                                 bundle         apache2
org.eclipse.equinox.common_3.19.0.v20240214-0846.jar                                                bundle         epl2
com.fasterxml.jackson.dataformat.jackson-dataformat-yaml_2.21.0.jar                                 bundle         apache2
jakarta.servlet-api_6.1.0.jar                                                                       bundle         epl2
org.eclipse.ecf.provider.filetransfer_3.3.0.v20230422-0242.jar                                      bundle         epl1
axis2-json_1.6.1.wso2v120.jar                                                                       bundle         apache2
io.netty.tcnative_2.0.75.Final.jar                                                                  bundle         apache2
org.apache.aries.util_1.1.0.jar                                                                     bundle         apache2
org.eclipse.equinox.p2.metadata.repository_1.5.300.v20240201-0843.jar                               bundle         epl2
google-api-client_1.33.4.wso2v1.jar                                                                 bundle         apache2
org.eclipse.equinox.launcher_1.6.700.v20240213-1244.jar                                             bundle         epl2
org.wso2.carbon.identity.saml.common.util_1.0.10.jar                                                bundle         apache2
org.osgi.service.metatype_1.4.1.202109301733.jar                                                    bundle         apache2
google-http-client_1.47.1.wso2v1.jar                                                                bundle         apache2
org.eclipse.core.expressions_3.9.300.v20240207-1044.jar                                             bundle         epl2
org.wso2.micro.integrator.mediator.oauth_4.6.0.alpha.jar                                            bundle         apache2
org.wso2.micro.integrator.relay_4.6.0.alpha.jar                                                     bundle         apache2
asn-one_0.6.0.wso2v1.jar                                                                            bundle         apache2
de.undercouch.bson4jackson_2.18.0.jar                                                               bundle         apache2
org.sat4j.pb_2.3.5.v201308161310.jar                                                                bundle         epl1 + lgpl2
neethi_2.0.4.wso2v5.jar                                                                             bundle         apache2
org.wso2.carbon.crypto.api_1.1.3.jar                                                                bundle         apache2
org.apache.felix.gogo.command_1.1.2.jar                                                             bundle         apache2
javax.xml.soap-api_1.4.0.jar                                                                        bundle         cddl1 + gpl1
org.eclipse.equinox.cm_1.6.300.v20250515-0501.jar                                                   bundle         epl2
org.objectweb.asm_9.2.0.jar                                                                         bundle         bsd3
commons-fileupload-jdk21_1.6.0.wso2v1.jar                                                           bundle         apache2
commons-io-2.17.0.jar                                                                               jarinbundle    apache2
jaxb_2.2.5.wso2v1.jar                                                                               bundle         cddl1
org.osgi.service.component_1.5.1.202212101352.jar                                                   bundle         apache2
org.wso2.micro.integrator.mediator.datamapper.engine_4.6.0.alpha.jar                                bundle         apache2
org.wso2.caching_4.0.3.jar                                                                          bundle         apache2
io.zipkin.reporter2.zipkin-reporter_2.17.2.jar                                                      bundle         apache2
org.wso2.micro.integrator.registry_4.6.0.alpha.jar                                                  bundle         apache2
org.wso2.micro.integrator.relay.module_4.6.0.alpha.jar                                              bundle         apache2
org.wso2.micro.integrator.crypto.provider_4.6.0.alpha.jar                                           bundle         apache2
org.tukaani.xz_1.9.0.jar                                                                            bundle         0bsd
json-schema-validator-all_2.2.14.wso2v1.jar                                                         bundle         apache2
org.eclipse.equinox.p2.jarprocessor_1.3.300.v20240201-0843.jar                                      bundle         epl2
org.osgi.service.prefs_1.1.2.202109301733.jar                                                       bundle         apache2
synapse-tasks_4.1.0.wso2v18.jar                                                                     bundle         apache2
net.minidev.accessors-smart_2.6.0.jar                                                               bundle         apache2
org.wso2.carbon.identity.entitlement.stub_4.7.55.jar                                                bundle         apache2
wss4j_1.6.0.wso2v6.jar                                                                              bundle         apache2
libthrift_0.18.1.wso2v1.jar                                                                         bundle         apache2
org.wso2.micro.integrator.relay.mediators.builder_4.6.0.alpha.jar                                   bundle         apache2
